time,dof_pos_target,dof_pos_actual,dof_tau,base_pos,base_vel
0.020000000000000004,"-0.19321522, 0.44428545,-0.10603254, 0.3135061 , 0.74094796, 0.15062158,
 -0.09132389, 0.02282795, 0.01378892, 0.870887  ,-0.44602612,-0.07472719","-5.75709764e-02,-6.89650505e-04,-2.97801364e-03, 1.25696700e-01,
 -7.61824226e-02, 2.75163929e-05,-5.75709816e-02, 6.89280498e-04,
  2.97818144e-03, 1.25696686e-01,-7.61824383e-02,-2.75557184e-05"," 1.91207935, 0.0882727 , 0.34243801,-0.40267186, 4.12436609,-0.0088946 ,
  1.9120808 ,-0.08823717,-0.34247935,-0.40266388, 4.12437142, 0.00891175","-2.74213073e-03, 8.73750770e-10, 7.90600865e-01","-1.62012177e-01,-1.38150405e-07,-2.08866211e-01"
0.04000000000000002," 0.061129  , 0.30992097,-0.03605631, 0.35305262, 0.5345603 ,-0.06885536,
 -0.43706006,-0.01286099, 0.01562921, 0.82138866,-0.5841227 , 0.04765217","-1.26706095e-01, 1.27539403e-04,-6.02624131e-05, 2.21168655e-01,
 -1.25178152e-01, 3.00536908e-03,-1.92848052e-01, 5.06824037e-03,
  1.19286455e-02, 4.39217877e-01,-2.19444843e-01,-1.61846681e-02","-8.92337367e-01, 4.44797473e+01,-1.08115241e+01,-5.60766284e-01,
  3.74594950e+01, 5.69350559e+00, 2.27739376e+01, 1.39679009e+00,
 -5.61132201e-01, 6.41876112e-01, 1.46085343e+00, 1.99284664e-02","-7.86041436e-03,-5.13196088e-04, 7.87115629e-01","-0.24223555,-0.05070852,-0.14708511"
0.06000000000000004,"-0.15983212, 0.13158448, 0.01593825, 0.361549  , 0.17272227,-0.14730506,
 -0.3683081 ,-0.03064357, 0.06612618, 0.9377832 ,-0.61433256, 0.10714898","-1.63770748e-01,-1.58144287e-03, 4.73449493e-03, 2.64599613e-01,
 -1.39352390e-01,-4.34313071e-03,-2.93411157e-01, 3.66208978e-03,
  1.20510741e-02, 6.96747256e-01,-3.27280143e-01,-6.91046002e-04"," 24.59552711, 31.27295668, -4.63572165,  8.22898952, 27.73234174,
  -1.68668712, -7.30266347, -1.4022933 ,  0.53088659,-18.54706082,
  -0.65149598, -0.03334714","-0.01148646,-0.00174936, 0.78484157","-0.13001998,-0.07743968,-0.08007568"
0.08000000000000006,"-0.318974  , 0.05427412, 0.07938316, 0.3672309 , 0.0611033 ,-0.23522392,
 -0.28279337, 0.01375291, 0.06520291, 1.0277224 ,-0.66212744, 0.12350187","-0.18923034,-0.00399454, 0.01161548, 0.30159389,-0.15452714,-0.01581724,
 -0.3539447 , 0.00466899, 0.02560449, 0.84841096,-0.42086795, 0.03405905"," 5.24014497,13.85958652,-0.1823461 , 1.54898708,14.77781548,-4.20161173,
  3.08074612,-3.64319519, 2.44725972,-9.44417841, 0.30629553,-0.29101147","-0.01404822,-0.00341954, 0.78254336","-0.1134714 ,-0.0882202 ,-0.13068798"
0.10000000000000007,"-0.33354065, 0.16479923, 0.0595233 , 0.42677164, 0.15449102,-0.2720873 ,
 -0.2891983 ,-0.04845789, 0.10708343, 0.99169725,-0.7048803 , 0.08390389","-0.22009406,-0.00870749, 0.02022228, 0.35436586,-0.1793902 ,-0.04244566,
 -0.39067835, 0.00573818, 0.04936863, 0.94499808,-0.50231184, 0.06432005","-7.13179717, 6.82036121, 5.06471191,-8.10145319,12.08214696,-5.04807983,
 13.33312712, 0.79485512,-0.63638868,-2.4572992 , 0.6906623 ,-0.1911063 ","-0.01629846,-0.00527272, 0.77926292","-0.09960857,-0.095263  ,-0.18281202"
0.12000000000000009,"-0.3197463 , 0.16710067, 0.04633446, 0.47048008, 0.16376092,-0.32298127,
 -0.28809568,-0.09411391, 0.14032799, 0.84788257,-0.6786006 ,-0.00492604","-0.25135492,-0.01406175, 0.03108251, 0.41250591,-0.20540963,-0.07863326,
 -0.39936131, 0.00222437, 0.07284239, 0.98001267,-0.57032178, 0.07332168","-5.51796494,18.37606842, 1.76067301,-8.37897539,16.7628365 ,-4.41836131,
 11.007631  ,-4.52730919, 1.40435418,-1.04295541, 0.5552218 ,-0.02174091","-0.01811056,-0.00740085, 0.77532184","-0.08114596,-0.11244425,-0.20885566"
0.1400000000000001,"-0.15697406, 0.01004488, 0.04805532, 0.5608237 , 0.17652379,-0.19033742,
 -0.3500563 ,-0.09374695, 0.13696636, 0.44266635,-0.6121494 ,-0.1270118 ","-0.2772668 ,-0.02011308, 0.0419359 , 0.46570428,-0.22919411,-0.12255024,
 -0.37505822,-0.01112628, 0.09288252, 0.9290563 ,-0.60830734, 0.05162952","-2.13022238,19.36583788,-0.55071258,-8.48944729,17.87847394,-4.00265156,
  5.75624895,-6.74130212, 2.95419718, 1.38815492, 0.17712818, 0.04221522","-0.01936323,-0.00978292, 0.7711418 ","-0.05574144,-0.11991804,-0.22168363"
0.16000000000000011,"-0.24819049,-0.00540713,-0.06045594, 0.6717916 ,-0.31989026, 0.02018471,
 -0.2121039 ,-0.01738863, 0.06004175, 0.23224586,-0.23932524,-0.19760786","-0.28914775,-0.03327205, 0.05138789, 0.50264778,-0.24335643,-0.1237792 ,
 -0.30124278,-0.04126382, 0.10470932, 0.7248562 ,-0.60678204,-0.00377627"," 13.94011176,  5.76061143, -1.33309812,  2.75262178, 18.23046667,
  -3.44747595,-12.48556259, -2.08559114,  2.19650586,  2.40495083,
  -0.77204982,  0.37035783","-0.01955849,-0.01201174, 0.76681806","-0.00319185,-0.10097237,-0.25308662"
0.18000000000000013,"-0.4200927 ,-0.07639957, 0.00629367, 0.6926226 ,-0.49663526, 0.01575441,
 -0.15899053,-0.14096792, 0.17435637, 0.39550754,-0.27561802,-0.23342176","-0.30589476,-0.04723483, 0.0111684 , 0.5679751 ,-0.27754604,-0.08012626,
 -0.25422612,-0.05492898, 0.10059042, 0.57700984,-0.39423959,-0.02204598","  7.15328608,  4.60974068, -2.29814255,  2.62589996,  0.83958499,
  -0.23643785,  2.17992884,  3.45926185, -3.15931476,-38.69770711,
 -15.66485557, -5.95299543","-0.01966406,-0.01524744, 0.76226867"," 0.00922831,-0.21588416,-0.16007086"
0.20000000000000015,"-0.38440168,-0.17458928, 0.10181309, 0.69855547,-0.5709082 ,-0.06396672,
 -0.27749214,-0.12557858, 0.13481706, 0.51329535,-0.20669031,-0.17361622","-0.32034637,-0.03059222,-0.01836084, 0.63851281,-0.34124303,-0.04614144,
 -0.25518762,-0.03576963, 0.08814575, 0.59271006,-0.35003796,-0.02782211"," -8.91415208, -6.73829315,  4.14521226, -3.51322632,  0.07422836,
  -0.31246486,  9.85591281,-12.61447835,  9.90125068,-35.12463904,
   3.11716985, -7.77366791","-0.01945302,-0.01977548, 0.76028292"," 0.02962664,-0.22924942,-0.04390884"
0.22000000000000017,"-0.28703237,-0.13779631, 0.09946676, 0.6730498 ,-0.5077031 ,-0.05253575,
 -0.32607892,-0.08794045, 0.08043295, 0.5152721 ,-0.07305223,-0.11989863","-0.32865895,-0.00526981,-0.00532711, 0.67943799,-0.41394437,-0.04545206,
 -0.26111848,-0.01628807, 0.07597256, 0.62678962,-0.37002216,-0.02870723"," -4.96708447,-18.85686724,  8.65012293, -2.55053195,  0.26649193,
  -0.33265923, -1.01536211,-12.39070429,  6.85946443,-23.16334077,
   8.75275459, -5.8331963 ","-0.01898381,-0.0235714 , 0.75934363"," 0.02218342,-0.15492399,-0.04658111"
0.24000000000000019,"-0.28385878,-0.05217703, 0.07547125, 0.5326813 ,-0.3541003 ,-0.07953455,
 -0.3047937 ,-0.03225042, 0.02953133, 0.60411346,-0.0147076 ,-0.05729159","-0.32488447, 0.00628048, 0.02205132, 0.67718768,-0.44903937,-0.0469324 ,
 -0.26387479,-0.00426882, 0.06613525, 0.64964869,-0.38784727,-0.02671958","  3.10683173,-14.91709792,  5.39623736,  1.73710855,  0.15100141,
  -0.1684833 , -6.13576808, -9.29806645,  2.29741077,-23.4642171 ,
  14.01562868, -3.93435081","-0.01831728,-0.02607619, 0.75859493"," 0.03707673,-0.10204092,-0.0355234 "
0.2600000000000002,"-0.23288324, 0.1394465 ,-0.02503092, 0.38775367,-0.17064439,-0.01010831,
 -0.32294813, 0.00175358,-0.00721766, 0.7570976 ,-0.30212158,-0.03767746","-0.30968681, 0.00382254, 0.02931049, 0.6319281 ,-0.40015143,-0.04517977,
 -0.26474705, 0.00488641, 0.05712094, 0.66345092,-0.39841711,-0.02408143","  1.73773028, -4.96613121,  5.89189413, -8.53923219, -6.00803846,
  -2.12204082, -3.84831196, -4.48543016, -1.98458214,-11.06426206,
  16.13557213, -1.55408841","-0.01756573,-0.0279443 , 0.7577668 "," 0.02808293,-0.08953468,-0.03991294"
0.2800000000000002,"-0.1958574 , 0.31069225,-0.21235305, 0.39432505,-0.09527586, 0.20852867,
 -0.42990997,-0.02085121, 0.02759891, 0.8922865 ,-0.57121015,-0.05196195","-0.30069579, 0.00380938, 0.02162186, 0.59920352,-0.28354054,-0.03500496,
 -0.27870552, 0.00534281, 0.03506093, 0.69633398,-0.40356179,-0.02782245","  6.34118249, 13.34916661, -4.53101834,-28.99000194, -1.35625606,
   0.06637541, -2.77767283,  0.07939041, -1.71144232,  1.89747665,
   4.15759934, -0.04785522","-0.01703787,-0.0297991 , 0.75699828"," 0.02407289,-0.09244255,-0.01191239"
0.3000000000000002,"-0.23642942, 0.3386704 ,-0.17209455, 0.45024276,-0.09133496, 0.28563437,
 -0.43967488,-0.06392661, 0.05303276, 0.9526778 ,-0.62857234,-0.04095484","-3.00642087e-01, 3.97456086e-03, 2.29300711e-02, 5.96885266e-01,
 -2.78320560e-01,-2.25730941e-02,-3.14287511e-01, 4.72773407e-05,
  1.88249436e-02, 7.82487130e-01,-4.51183691e-01,-3.43481005e-02"," 10.42721064, 30.75485552,-23.61208648,-29.81349834,  7.9340736 ,
   8.0838874 , -8.06573736, -1.68589516,  1.80293631, -1.04490337,
   0.10741469, -0.07996455","-0.01697911,-0.03197916, 0.75724566"," 0.00281243,-0.12696016, 0.04400613"
0.32000000000000023,"-0.26431307, 0.26828107,-0.07671268, 0.47021285,-0.10214543, 0.26232147,
 -0.41454974,-0.0511258 , 0.04948843, 0.94653696,-0.61586493,-0.01460535","-0.30111895, 0.00290857, 0.0232902 , 0.59260293,-0.28635959,-0.00772249,
 -0.35484389,-0.00267184, 0.01749715, 0.876224  ,-0.50744398,-0.03646781","  6.50718473, 33.65033571,-19.48780719,-20.3278922 ,  8.45354718,
  10.30329175, -5.01473043, -5.93467476,  3.42442582, -4.22621041,
   0.11804045, -0.10131205","-0.01707894,-0.0348799 , 0.75817092","-0.00289737,-0.16251527, 0.05418343"
0.34000000000000025,"-0.27765933, 0.20199183,-0.02979596, 0.4792009 ,-0.1126867 , 0.23618957,
 -0.38948146,-0.01784323, 0.03147591, 0.8963935 ,-0.5663169 ,-0.00625947","-0.30046735, 0.0031956 , 0.02419239, 0.58599827,-0.29041344, 0.00940079,
 -0.38313919,-0.00505678, 0.02181768, 0.92746986,-0.54350438,-0.03039559"," 3.50164157e+00, 2.64424543e+01,-1.02186785e+01,-1.60599763e+01,
  7.78367831e+00, 8.45514616e+00,-1.06630023e+00,-4.35651782e+00,
  2.30068936e+00,-3.53887885e+00,-1.97645051e-03, 3.82663083e-03","-0.01698165,-0.03836176, 0.75926807"," 0.01137411,-0.18421343, 0.05319271"
0.36000000000000026,"-0.30394757, 0.12137381, 0.01240399, 0.50044936,-0.14061949, 0.17865935,
 -0.32967   , 0.02443406, 0.01426903, 0.78948987,-0.45278972, 0.01031077","-0.29774902, 0.0049406 , 0.02585098, 0.57908009,-0.29159804, 0.02425901,
 -0.39272726,-0.00821418, 0.02592284, 0.92272567,-0.55267346,-0.02314216","  1.74476615, 19.52076561, -5.72772016,-13.83817301,  7.2417436 ,
   7.18153952,  0.72736037, -0.65910319,  0.22581899, -0.41915376,
  -0.15343483,  0.03339124","-0.01650414,-0.04229527, 0.76020975"," 0.02953951,-0.20561607, 0.03473723"
0.3800000000000003,"-0.35153884, 0.0200597 , 0.0610815 , 0.5196993 ,-0.17305878, 0.07107383,
 -0.22663581, 0.06499629, 0.01056758, 0.6270114 ,-0.22869365, 0.03908145","-0.29455165, 0.00834761, 0.02633225, 0.57668038,-0.29367326, 0.02987279,
 -0.38050446,-0.009418  , 0.02848092, 0.85939644,-0.52340262,-0.01333706"," -1.15911337, 10.98060537, -1.41069952,-11.52694717,  6.43586228,
   5.70524814,  3.50759019,  3.42398297, -1.63849042,  3.4498147 ,
  -0.30134493,  0.04249543","-0.01558645,-0.04672206, 0.76050444"," 0.05040327,-0.22952493,-0.01304957"
0.4000000000000003,"-0.33651784,-0.0417982 , 0.05524048, 0.56940943,-0.19795184,-0.00088125,
 -0.18673584, 0.01520355, 0.05519106, 0.44245186,-0.05687031, 0.0302723 ","-0.29156294, 0.01219437, 0.02406974, 0.58181719,-0.2987714 , 0.01503348,
 -0.34208511,-0.00613207, 0.03381711, 0.73501029,-0.4323771 , 0.00236641","-6.15703211e+00, 5.26370860e-01, 3.93809507e+00,-1.10090510e+01,
  5.70260999e+00, 4.12944344e+00, 7.59278953e+00, 6.76071001e+00,
 -2.95353635e+00, 8.34256434e+00,-8.42437530e-01, 1.07477562e-02","-0.01411624,-0.0515611 , 0.75955206"," 0.07770921,-0.2433778 ,-0.09209883"
