time,dof_pos_target,dof_pos_actual,dof_tau,base_pos,base_vel
0.020000000000000004," 0.26393586, 0.11064852,-0.70724565, 0.7590015 ,-0.63027436,-0.14214025,
 -0.15452392,-0.75564694, 0.90436566,-0.87311894","-9.41325374e-04, 1.19386361e-03,-2.96569304e-01, 4.82693968e-01,
 -1.64989759e-01, 2.97615413e-04,-9.79360768e-04,-2.96630832e-01,
  4.82629302e-01,-1.65517441e-01","-0.01983885, 0.12274203,15.54920863,-9.980173  , 3.86332974, 0.09816513,
 -0.12073803,15.58178376,-9.97233125, 3.8932348 ","-6.41593738e-03, 2.33262276e-05, 4.49989014e-01","-0.1957679 , 0.00020361,-0.0488816 "
0.04000000000000002," 0.16654332, 0.1641358 ,-0.40579548, 0.72955894,-0.3899975 ,-0.05552091,
 -0.09421071,-0.6337034 , 1.2346317 ,-0.35542437"," 0.02889105, 0.00648342,-0.54217614, 0.68628769,-0.23810048, 0.0091211 ,
 -0.04509261,-0.57803237, 0.77759028,-0.27790199"," 19.49328314,  9.21189013,  7.32277214, -4.8215629 , -0.42205342,
 -15.63672094, -5.81493365,  9.92830417, -7.14187971, -0.36022522","-0.01561251,-0.00150371, 0.44589164","-0.46329458,-0.12164017,-0.27333046"
0.06000000000000004," 0.03529852,-0.03793871,-0.47214288, 0.5243589 ,-0.2968462 , 0.05978013,
 -0.05467997,-0.4666772 , 1.0307548 ,-0.4791866 "," 0.06906887, 0.06793048,-0.5378092 , 0.68430357,-0.27891002,-0.00251845,
 -0.07435835,-0.68474576, 1.04799394,-0.31609749"," 5.93119547, 2.52089136,12.61959049, 6.95687601, 0.81593285,-4.15781743,
 -0.68650335,13.22641315,-4.36595388, 0.52237957","-0.01334917,-0.00354272, 0.43939787"," 0.39667516,-0.13385868,-0.3634518 "
0.08000000000000006," 0.10880683,-0.09554532,-0.42828596, 0.347768  ,-0.5786664 , 0.06781031,
 -0.08896925,-0.24324387, 1.0600253 ,-0.7573128 "," 0.12284186, 0.06285644,-0.43286034, 0.64002053,-0.22687601,-0.01246167,
 -0.07807334,-0.57050267, 1.04318044,-0.34102236","-1.27998905e+01,-7.41181945e+00,-2.24758793e+01,-2.08039134e+01,
 -1.01392861e+01, 8.53103124e+00, 2.76752073e+00,-6.82912622e-01,
  2.22930282e+00,-1.04709548e-03","-0.00478384,-0.00582897, 0.43285127"," 0.35430838,-0.02918573,-0.36205562"
0.10000000000000007," 0.2044465 ,-0.04095863,-0.385665  , 0.4014501 ,-0.8448889 , 0.05285413,
 -0.04743344,-0.1231457 , 0.93003094,-1.0714698 "," 0.1139305 , 0.02769181,-0.32900484, 0.5955861 ,-0.16170156,-0.04174269,
 -0.11143803,-0.40883166, 1.02718291,-0.41451808","  2.57105455, -9.1515425 ,-36.93615771,-41.15410306,-11.78686559,
  13.92035401,  6.39664145,  4.78061047,  6.0563366 ,  0.50502894"," 0.00248269,-0.00210837, 0.42909746"," 0.24284699, 0.29569785,-0.11011362"
0.12000000000000009,"-0.02431296, 0.03925634,-0.47476247, 0.71833843,-0.6695446 ,-0.09225354,
 -0.11168523,-0.10357574, 0.52411586,-1.1013074 "," 0.09117316,-0.00932381,-0.27597972, 0.57747291,-0.16435046,-0.05385673,
 -0.13150341,-0.23612645, 0.95475132,-0.52729677"," 12.91036049,  0.36861881,-27.12506384,-33.21897537,-12.87119587,
  10.94262129,  9.20717472, -3.64683727,  4.96890412,  0.32093655","0.00535761,0.00163942,0.42767539"," 0.00685912, 0.12187047,-0.0809713 "
0.1400000000000001," 0.00501493, 0.05047828,-0.47766173, 0.90366656,-0.44514015,-0.02912828,
 -0.11783165,-0.33164728, 0.5350825 ,-0.76395994"," 0.0409009 , 0.00810338,-0.36785649, 0.68999788,-0.22762621,-0.0709056 ,
 -0.11988211,-0.12785326, 0.75455878,-0.57510239","-1.61445609e+00, 8.03194844e-02,-5.06216689e+00,-8.69180167e+00,
 -2.38623478e+00,-1.51908309e-02,-4.75044650e-01,-1.61509172e+00,
 -2.88075084e+01,-1.03435118e+01","0.00186865,0.00441098,0.42516143","-0.1741989 , 0.08052137,-0.04663671"
0.16000000000000011," 0.01158541, 0.09619345,-0.4798742 , 1.0060581 ,-0.508131  ,-0.07056616,
 -0.14335494,-0.2959774 , 0.59869266,-0.6515336 "," 0.02784079, 0.04515305,-0.47670644, 0.81443871,-0.27396041,-0.06786487,
 -0.09356238,-0.16360418, 0.73998943,-0.54624586"," -2.86835118, -2.32616088, 15.04766369,  1.31561862,  0.27807904,
   2.34417137, -5.15479661,-25.4895133 ,-38.71638001, -8.78914689","-0.00307516, 0.00177431, 0.42499251","-0.23643433,-0.26051131, 0.06720882"
0.18000000000000013,"-0.01522304, 0.1239733 ,-0.45375678, 0.99463975,-0.6438822 ,-0.08078066,
 -0.15634277,-0.24325645, 0.6444256 ,-0.5754177 "," 0.03644223, 0.08211464,-0.52061769, 0.92318191,-0.31842662,-0.04079408,
 -0.06760804,-0.19942844, 0.72144993,-0.49987917"," -3.06308175, -1.72819996, 10.62035126,  0.90851087,  0.26030495,
  -5.58883997, -9.50334503,-13.77505422,-20.67939184, -7.3948996 ","-0.00652704,-0.00367011, 0.42659821","-0.13583772,-0.25682281, 0.09206848"
0.20000000000000015,"-0.03929395, 0.07046906,-0.41928947, 0.990711  ,-0.75762606,-0.07553175,
 -0.11828502,-0.2882279 , 0.6814032 ,-0.53614306"," 0.02332579, 0.11553312,-0.48529571, 0.96636614,-0.37441432,-0.0189462 ,
 -0.05561339,-0.21998181, 0.70724529,-0.46922502"," -2.00701434, -1.77122143, -2.18849548, -0.29167484,  0.01427284,
  -7.84890383,-10.82063541, -1.31273312,-10.82569461, -4.4771074 ","-0.00802852,-0.0070556 , 0.42807403","-0.0534736 ,-0.11765494, 0.04821416"
0.22000000000000017,"-0.03825551, 0.04733174,-0.41818213, 1.0336125 ,-0.8056004 ,-0.05833015,
 -0.13287379,-0.29090512, 0.68504107,-0.30071276"," 5.95497722e-05, 1.10575912e-01,-4.35825806e-01, 9.81761098e-01,
 -4.40433952e-01,-9.00561420e-03,-5.27866173e-02,-2.54327941e-01,
  7.21336471e-01,-4.60272429e-01","-1.88403712e+00,-2.40284975e+00,-4.93215756e+00,-4.05718474e-01,
 -3.21646445e-02,-7.34784968e+00,-6.75434251e+00, 7.88331093e-03,
 -1.11912605e+01,-2.08053568e+00","-0.00947413,-0.00818667, 0.42780695","-0.07907141,-0.03454347,-0.04435944"
0.24000000000000019,"-0.0107714 , 0.03213525,-0.3682486 , 0.8873626 ,-0.6994009 ,-0.01320377,
 -0.09684481,-0.2679901 , 0.71572435,-0.18507104","-0.01435799, 0.0790535 ,-0.40757745, 1.01653646,-0.50450096, 0.00263323,
 -0.04792733,-0.28712829, 0.72907068,-0.45009263","-1.26296179,-0.11116632,-6.53000159,-2.11238474,-0.13216632,-7.24103247,
 -9.08563112, 4.54802903,-9.27388005, 1.8605935 ","-0.0109819 ,-0.00923734, 0.42666466","-0.07141636,-0.05608896,-0.0603174 "
